domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
Siglec-3,-0.150538820517865,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,30073
Siglec-3,0.04271431032249,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,35786
Siglec-3,0.121094562951685,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,20251
TACI,0.264129642735503,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,37263
TACI,0.551024831599527,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,40299
TACI,0.0,baseline,d1,0h,CD4,,prolif2_d1_0h_baseline_CD4_NA,19249
TACI,-0.046201252266244,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,6265
TACI,-0.0223448151690068,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,11537
TACI,0.264129642735503,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,32846
TACI,0.551024831599527,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,24552
TACI,0.305436644461191,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,40990
TACI,-0.046201252266244,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,26736
TACI,0.192830359768044,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,45394
TACI,-0.0223448151690068,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,14918
TACI,0.264129642735503,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,20030
TACI,0.551024831599527,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,23050
TACI,0.305436644461191,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,23988
TACI,-0.046201252266244,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,34101
TACI,0.192830359768044,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,26954
TACI,-0.0223448151690068,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,20737
TACI,0.264129642735503,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,15176
TACI,0.551024831599527,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,7474
TACI,0.305436644461191,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,22427
TACI,-0.046201252266244,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,20048
TACI,0.192830359768044,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,26859
TACI,-0.0223448151690068,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,25411
TACI,0.64824543588801,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,38721
TACI,0.0,baseline,d1,0h,CD8,,prolif2_d1_0h_baseline_CD8_NA,12240
TACI,0.2766490161176,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,26986
TACI,0.035265883662681,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,16044
TACI,0.0228237402981511,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,23461
TACI,0.64824543588801,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,15893
TACI,0.2766490161176,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,17579
TACI,0.035265883662681,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,30697
TACI,0.351045704077108,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,93776
TACI,0.0228237402981511,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,35720
