domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,198566
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,170359
4-1BB,0.0,baseline,d1,0h,CD4,,prolif2_d1_0h_baseline_CD4_NA,141169
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,489083
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,562963
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,177172
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,61661
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,160672
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,260439
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,123932
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,371186
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,177473
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,65399
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,134278
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,128587
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,138585
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,260841
4-1BB,0.318651796878394,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,61682
4-1BB,0.161293826632561,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,99724
4-1BB,0.311581779126508,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,83203
4-1BB,1.14605238099117,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,110241
4-1BB,0.0727715082075411,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,112496
4-1BB,0.824821829472429,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,239619
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,100968
4-1BB,0.0,baseline,d1,0h,CD8,,prolif2_d1_0h_baseline_CD8_NA,105914
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,74931
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,237959
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,260595
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,36617
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,75487
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,187886
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,121328
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,236956
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,90196
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,93081
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,133499
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,100527
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,202269
4-1BB,-0.0001104223842856,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,219761
4-1BB,0.323686748996986,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,81684
4-1BB,0.683407449713587,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,97744
4-1BB,0.0854075483161083,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,105778
4-1BB,0.211378637271491,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,195690
4-1BB,0.530605545813401,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,305837
4-1BB,0.0638122950518026,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,127682
4-1BB,0.0719063300301875,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,157541
4-1BB,0.605528073919845,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,558299
4-1BB,0.341671681989448,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,113111
4-1BB,-0.0475765743032699,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,75049
4-1BB,0.0,baseline,d2,0h,CD4,,prolif1_d2_0h_baseline_CD4_NA,415448
4-1BB,0.0,baseline,d2,0h,CD4,,prolif2_d2_0h_baseline_CD4_NA,105555
4-1BB,0.30941235744624,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,398186
4-1BB,0.530605545813401,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,207090
4-1BB,0.0638122950518026,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,71711
4-1BB,0.0719063300301875,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,341592
4-1BB,0.605528073919845,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,367565
4-1BB,0.341671681989448,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,96449
4-1BB,-0.0475765743032699,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,101367
4-1BB,0.30941235744624,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,500722
4-1BB,0.530605545813401,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,156550
4-1BB,0.0638122950518026,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,90460
4-1BB,0.0719063300301875,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,142075
4-1BB,0.605528073919845,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,205159
4-1BB,0.341671681989448,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,80449
4-1BB,-0.0475765743032699,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,171804
4-1BB,0.30941235744624,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,2304
4-1BB,0.530605545813401,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,163226
4-1BB,0.0638122950518026,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,70282
4-1BB,0.0719063300301875,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,229082
4-1BB,0.605528073919845,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,147252
4-1BB,0.341671681989448,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,74758
4-1BB,-0.0475765743032699,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,104974
4-1BB,0.0,CTV3,d2,24d,CD4,neg,prolif1_d2_24d_CTV3_CD4_neg,132846
4-1BB,0.30941235744624,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,248569
4-1BB,0.21448388832505,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,125426
4-1BB,0.409930983640952,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,64725
4-1BB,0.38211883998946,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,288045
4-1BB,0.62376261196681,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,173335
4-1BB,0.607778952570442,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,281330
4-1BB,0.0,baseline,d2,0h,CD8,,prolif1_d2_0h_baseline_CD8_NA,136366
4-1BB,0.0,baseline,d2,0h,CD8,,prolif2_d2_0h_baseline_CD8_NA,130407
4-1BB,-0.0699411716440374,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,150845
4-1BB,0.30848955617205,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,362884
4-1BB,-0.249937847433657,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,177831
4-1BB,0.21448388832505,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,94891
4-1BB,0.409930983640952,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,166025
4-1BB,0.122012529960074,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,92145
4-1BB,0.38211883998946,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,306611
4-1BB,0.62376261196681,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,175543
4-1BB,0.607778952570442,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,85610
4-1BB,-0.0699411716440374,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,188165
4-1BB,0.222544013148885,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,182302
4-1BB,0.30848955617205,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,205895
4-1BB,0.110996561599785,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,77236
4-1BB,-0.249937847433657,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,135582
4-1BB,0.21448388832505,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,106877
4-1BB,0.409930983640952,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,124734
4-1BB,0.122012529960074,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,106021
4-1BB,0.38211883998946,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,313661
4-1BB,0.62376261196681,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,137747
4-1BB,0.607778952570442,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,81616
4-1BB,0.0198101823031524,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,88831
4-1BB,-0.0699411716440374,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,90005
4-1BB,0.222544013148885,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,180429
4-1BB,0.30848955617205,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,365118
4-1BB,0.110996561599785,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,174841
4-1BB,-0.249937847433657,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,198464
4-1BB,0.21448388832505,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,171592
4-1BB,0.409930983640952,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,119549
4-1BB,0.122012529960074,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,93162
4-1BB,0.38211883998946,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,244297
4-1BB,0.62376261196681,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,129332
4-1BB,0.607778952570442,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,124791
4-1BB,0.0198101823031524,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,78919
4-1BB,-0.0699411716440374,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,167462
4-1BB,0.222544013148885,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,74649
4-1BB,0.30848955617205,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,272274
4-1BB,0.110996561599785,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,84732
4-1BB,-0.249937847433657,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,244729
BAFF-R,0.438517438810136,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,119467
BAFF-R,0.303538769982881,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,54260
BAFF-R,0.0,baseline,d1,0h,CD4,,prolif2_d1_0h_baseline_CD4_NA,38065
BAFF-R,0.480349549148242,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,44606
BAFF-R,0.0437110992621611,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,39208
BAFF-R,0.438517438810136,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,59661
BAFF-R,0.303538769982881,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,37722
BAFF-R,0.307169626338432,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,86839
BAFF-R,0.480349549148242,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,97023
BAFF-R,0.257174500633403,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,105464
BAFF-R,0.0437110992621611,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,66230
BAFF-R,0.438517438810136,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,52096
BAFF-R,0.303538769982881,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,37644
BAFF-R,0.307169626338432,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,56933
BAFF-R,0.480349549148242,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,73909
BAFF-R,0.257174500633403,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,64977
BAFF-R,0.0437110992621611,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,74407
BAFF-R,0.438517438810136,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,28234
BAFF-R,0.303538769982881,CTV1,d1,3d,CD4,pos,prolif2_d1_3d_CTV1_CD4_pos,22282
BAFF-R,0.307169626338432,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,49240
BAFF-R,0.480349549148242,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,43230
BAFF-R,0.257174500633403,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,51888
BAFF-R,0.0437110992621611,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,80676
BAFF-R,0.522012400162329,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,66233
BAFF-R,0.0,baseline,d1,0h,CD8,,prolif2_d1_0h_baseline_CD8_NA,28088
BAFF-R,0.420474150283854,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,59721
BAFF-R,0.304115240710088,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,51581
BAFF-R,-0.497244735925862,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,19025
BAFF-R,0.522012400162329,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,26592
BAFF-R,0.420474150283854,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,36589
BAFF-R,0.304115240710088,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,73617
BAFF-R,0.174880155427295,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,91732
BAFF-R,-0.497244735925862,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,43797
BAFF-R,0.522012400162329,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,53150
BAFF-R,0.420474150283854,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,58757
BAFF-R,0.304115240710088,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,76103
BAFF-R,0.174880155427295,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,85326
BAFF-R,-0.497244735925862,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,67480
BAFF-R,0.522012400162329,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,33452
BAFF-R,0.420474150283854,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,51108
BAFF-R,0.304115240710088,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,51994
BAFF-R,0.174880155427295,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,62723
BAFF-R,-0.497244735925862,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,82813
BAFF-R,0.473602406548447,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,83690
BAFF-R,0.302699292060307,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,44246
BAFF-R,0.14454052753597,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,40999
BAFF-R,0.124419133663544,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,59015
BAFF-R,0.193633113050552,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,22782
BAFF-R,0.280639345013418,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,46118
BAFF-R,0.0,baseline,d2,0h,CD4,,prolif1_d2_0h_baseline_CD4_NA,32575
BAFF-R,0.0,baseline,d2,0h,CD4,,prolif2_d2_0h_baseline_CD4_NA,29185
BAFF-R,-0.254285866514694,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,19184
BAFF-R,0.473602406548447,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,40345
BAFF-R,0.302699292060307,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,45005
BAFF-R,0.14454052753597,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,57376
BAFF-R,0.124419133663544,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,64128
BAFF-R,0.193633113050552,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,24445
BAFF-R,0.280639345013418,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,28623
BAFF-R,-0.254285866514694,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,33741
BAFF-R,0.473602406548447,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,33024
BAFF-R,0.302699292060307,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,24457
BAFF-R,0.14454052753597,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,24892
BAFF-R,0.124419133663544,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,52186
BAFF-R,0.193633113050552,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,21769
BAFF-R,0.280639345013418,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,38988
BAFF-R,-0.254285866514694,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,165
BAFF-R,0.473602406548447,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,44368
BAFF-R,0.302699292060307,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,15494
BAFF-R,0.14454052753597,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,44504
BAFF-R,0.124419133663544,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,42805
BAFF-R,0.193633113050552,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,21046
BAFF-R,0.280639345013418,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,22525
BAFF-R,0.0,CTV3,d2,24d,CD4,neg,prolif1_d2_24d_CTV3_CD4_neg,46198
BAFF-R,-0.254285866514694,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,47114
BAFF-R,0.155111414229586,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,30641
BAFF-R,0.637111434939899,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,20289
BAFF-R,0.302552998613519,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,62213
BAFF-R,0.886593757642549,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,142334
BAFF-R,0.62349441658244,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,44214
BAFF-R,0.0,baseline,d2,0h,CD8,,prolif1_d2_0h_baseline_CD8_NA,11661
BAFF-R,0.0,baseline,d2,0h,CD8,,prolif2_d2_0h_baseline_CD8_NA,35432
BAFF-R,0.0400707097560973,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,60033
BAFF-R,0.270312217183924,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,113336
BAFF-R,0.120016134388489,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,102835
BAFF-R,0.155111414229586,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,28304
BAFF-R,0.637111434939899,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,72646
BAFF-R,0.249414000498946,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,84324
BAFF-R,0.302552998613519,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,84427
BAFF-R,0.886593757642549,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,76574
BAFF-R,0.62349441658244,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,60200
BAFF-R,0.0400707097560973,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,48238
BAFF-R,0.300862283874414,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,122004
BAFF-R,0.270312217183924,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,136434
BAFF-R,0.348674514397954,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,115963
BAFF-R,0.120016134388489,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,101162
BAFF-R,0.155111414229586,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,32066
BAFF-R,0.637111434939899,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,38218
BAFF-R,0.249414000498946,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,64292
BAFF-R,0.302552998613519,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,96863
BAFF-R,0.886593757642549,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,44783
BAFF-R,0.62349441658244,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,47840
BAFF-R,0.119988020615173,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,100153
BAFF-R,0.0400707097560973,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,26863
BAFF-R,0.300862283874414,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,97700
BAFF-R,0.270312217183924,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,172613
BAFF-R,0.348674514397954,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,124223
BAFF-R,0.120016134388489,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,130651
BAFF-R,0.155111414229586,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,48385
BAFF-R,0.637111434939899,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,19638
BAFF-R,0.249414000498946,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,58710
BAFF-R,0.302552998613519,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,59811
BAFF-R,0.886593757642549,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,67109
BAFF-R,0.62349441658244,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,17057
BAFF-R,0.119988020615173,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,50854
BAFF-R,0.0400707097560973,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,46939
BAFF-R,0.300862283874414,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,41873
BAFF-R,0.270312217183924,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,110388
BAFF-R,0.348674514397954,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,61366
BAFF-R,0.120016134388489,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,62925
BCMA,-0.116206195459358,CTV1,d1,3d,CD4,neg,prolif2_d1_3d_CTV1_CD4_neg,13658
